[3/15/2025, 5:41:15 AM] تم تقديم طلب إجازة | المستخدم: 298011146584064000 | النوع: عمل, البداية: 15/3/2025, النهاية: 16/3/2025
[5/4/2025, 4:13:32 AM] إدخال تاريخ غير صالح | المستخدم: 786001097156329492 | تاريخ البداية: 2025-5-4, النهاية: 2025-5-11
[5/4/2025, 4:14:04 AM] إدخال تاريخ غير صالح | المستخدم: 786001097156329492 | تاريخ البداية: 2025.5.4, النهاية: 2025.5.11
[5/4/2025, 4:14:33 AM] إدخال تاريخ غير صالح | المستخدم: 786001097156329492 | تاريخ البداية: 2025/5/4, النهاية: 2025/5/11
[5/4/2025, 4:15:12 AM] إدخال تاريخ غير صالح | المستخدم: 786001097156329492 | تاريخ البداية: 202554, النهاية: 2025511
[5/4/2025, 4:15:46 AM] تم تقديم طلب إجازة | المستخدم: 786001097156329492 | النوع: سنويه, البداية: 4/5/2025, النهاية: 11/5/2025
[5/4/2025, 11:52:08 AM] إدخال تاريخ غير صالح | المستخدم: 1047087975793692672 | تاريخ البداية: 4/5/2025, النهاية: لما الامتحانات تخلص
[5/4/2025, 11:53:04 AM] إدخال تاريخ غير صالح | المستخدم: 1047087975793692672 | تاريخ البداية: 2025/5/4, النهاية: 2025/6/1
[5/4/2025, 11:53:55 AM] إدخال تاريخ غير صالح | المستخدم: 1047087975793692672 | تاريخ البداية: 2025.5.4, النهاية: 2025.6.1
[5/4/2025, 11:55:01 AM] تم تقديم طلب إجازة | المستخدم: 1047087975793692672 | النوع: اخري, البداية: 4/5/2025, النهاية: 1/6/2025
[5/5/2025, 3:00:45 PM] إدخال تاريخ غير صالح | المستخدم: 1225141530696876055 | تاريخ البداية: 2025/5/5, النهاية: 2025/5/8
[5/5/2025, 7:00:49 PM] إدخال تاريخ غير صالح | المستخدم: 1225141530696876055 | تاريخ البداية: 2025-5-5, النهاية: 2025-5-7
[5/5/2025, 7:20:17 PM] إدخال تاريخ غير صالح | المستخدم: 1225141530696876055 | تاريخ البداية: (2025-5-5), النهاية: (2025-5-7)
[5/6/2025, 6:00:11 PM] إدخال تاريخ غير صالح | المستخدم: 1225141530696876055 | تاريخ البداية: 2025-5-6, النهاية: 2025-5-9
[5/6/2025, 6:01:02 PM] تم تقديم طلب إجازة | المستخدم: 1225141530696876055 | النوع: طارئة, البداية: 6-5-2025, النهاية: 9-5-2025
